Time	A
1633381727	0.001
1633381727	0.002
1633381727	0.003
1633381727	0.00399999
1633381727	0.00499998
1633381727	0.00599996
1633381727	0.00699994
1633381727	0.00799991
1633381727	0.00899988
1633381727	0.00999983
1633381727	0.0109998
1633381727	0.0119997
1633381727	0.0129996
1633381727	0.0139995
1633381727	0.0149994
1633381727	0.0159993
1633381727	0.0169992
1633381727	0.017999
1633381727	0.0189989
1633381727	0.0199987
1633381727	0.0209985
1633381727	0.0219982
1633381727	0.022998
1633381727	0.0239977
1633381727	0.0249974
1633381727	0.0259971
1633381727	0.0269967
1633381727	0.0279963
1633381727	0.0289959
1633381727	0.0299955
1633381727	0.030995
1633381727	0.0319945
1633381727	0.032994
1633381727	0.0339934
1633381727	0.0349929
1633381727	0.0359922
1633381727	0.0369916
1633381727	0.0379909
1633381727	0.0389901
1633381727	0.0399893
1633381727	0.0409885
1633381727	0.0419877
1633381727	0.0429868
1633381727	0.0439858
1633381727	0.0449848
1633381727	0.0459838
1633381727	0.0469827
1633381727	0.0479816
1633381727	0.0489804
1633381727	0.0499792
1633381727	0.0509779
1633381727	0.0519766
1633381727	0.0529752
1633381727	0.0539738
1633381727	0.0549723
1633381727	0.0559707
1633381727	0.0569691
1633381727	0.0579675
1633381727	0.0589658
1633381727	0.059964
1633381727	0.0609622
1633381727	0.0619603
1633381727	0.0629583
1633381727	0.0639563
1633381727	0.0649542
1633381727	0.0659521
1633381727	0.0669499
1633381727	0.0679476
1633381727	0.0689453
1633381727	0.0699428
1633381727	0.0709404
1633381727	0.0719378
1633381727	0.0729352
1633381727	0.0739325
1633381727	0.0749297
1633381727	0.0759269
1633381727	0.0769239
1633381727	0.0779209
1633381727	0.0789179
1633381727	0.0799147
1633381727	0.0809115
1633381727	0.0819081
1633381727	0.0829047
1633381727	0.0839013
1633381727	0.0848977
1633381727	0.085894
1633381727	0.0868903
1633381727	0.0878865
1633381727	0.0888826
1633381727	0.0898785
1633381727	0.0908745
1633381727	0.0918703
1633381727	0.092866
1633381727	0.0938616
1633381727	0.0948572
1633381727	0.0958526
1633381727	0.096848
1633381727	0.0978432
1633381727	0.0988384
1633381727	0.0998334
1633381727	0.100828
1633381727	0.101823
1633381727	0.102818
1633381727	0.103813
1633381727	0.104807
1633381727	0.105802
1633381727	0.106796
1633381727	0.10779
1633381727	0.108784
1633381727	0.109778
1633381727	0.110772
1633381727	0.111766
1633381727	0.11276
1633381727	0.113753
1633381727	0.114747
1633381727	0.11574
1633381727	0.116733
1633381727	0.117726
1633381727	0.118719
1633381727	0.119712
1633381727	0.120705
1633381727	0.121698
1633381727	0.12269
1633381727	0.123682
1633381727	0.124675
1633381727	0.125667
1633381727	0.126659
1633381727	0.127651
1633381727	0.128643
1633381727	0.129634
1633381727	0.130626
1633381727	0.131617
1633381727	0.132608
1633381727	0.133599
1633381727	0.13459
1633381727	0.135581
1633381727	0.136572
1633381727	0.137562
1633381727	0.138553
1633381727	0.139543
1633381727	0.140533
1633381727	0.141523
1633381727	0.142513
1633381727	0.143503
1633381727	0.144492
1633381727	0.145482
1633381727	0.146471
1633381727	0.14746
1633381727	0.148449
1633381727	0.149438
1633381727	0.150427
1633381727	0.151415
1633381727	0.152404
1633381727	0.153392
1633381727	0.15438
1633381727	0.155368
1633381727	0.156356
1633381727	0.157343
1633381727	0.158331
1633381727	0.159318
1633381727	0.160305
1633381727	0.161292
1633381727	0.162279
1633381727	0.163266
1633381727	0.164252
1633381727	0.165239
1633381727	0.166225
1633381727	0.167211
1633381727	0.168197
1633381727	0.169182
1633381727	0.170168
1633381727	0.171153
1633381727	0.172138
1633381727	0.173123
1633381727	0.174108
1633381727	0.175093
1633381727	0.176077
1633381727	0.177062
1633381727	0.178046
1633381727	0.17903
1633381727	0.180013
1633381727	0.180997
1633381727	0.18198
1633381727	0.182964
1633381727	0.183947
1633381727	0.184929
1633381727	0.185912
1633381727	0.186895
1633381727	0.187877
1633381727	0.188859
1633381727	0.189841
1633381727	0.190823
1633381727	0.191804
1633381727	0.192785
1633381727	0.193767
1633381727	0.194747
1633381727	0.195728
1633381727	0.196709
1633381727	0.197689
1633381727	0.198669
1633381727	0.199649
1633381727	0.200629
1633381727	0.201609
1633381727	0.202588
1633381727	0.203567
1633381727	0.204546
1633381727	0.205525
1633381727	0.206503
1633381727	0.207482
1633381727	0.20846
1633381727	0.209438
1633381727	0.210416
1633381727	0.211393
1633381727	0.21237
1633381727	0.213347
1633381727	0.214324
1633381727	0.215301
1633381727	0.216277
1633381727	0.217254
1633381727	0.21823
1633381727	0.219205
1633381727	0.220181
1633381727	0.221156
1633381727	0.222131
1633381727	0.223106
1633381727	0.224081
1633381727	0.225056
1633381727	0.22603
1633381727	0.227004
1633381727	0.227978
1633381727	0.228951
1633381727	0.229924
1633381727	0.230897
1633381727	0.23187
1633381727	0.232843
1633381727	0.233815
1633381727	0.234788
1633381727	0.235759
1633381727	0.236731
1633381727	0.237703
1633381727	0.238674
1633381727	0.239645
1633381727	0.240616
1633381727	0.241586
1633381727	0.242556
1633381727	0.243526
1633381727	0.244496
1633381727	0.245466
